Line,Artist,Life,Nationality,Title,Creation Date,Number,Of,Print Date,Medium,Type,Color / B&W,Qty,Height,Width,Depth,Height,Width,Depth,Signed,Presentation,Protection,Condition,Location Address,Room,Acquisition Date,Seller,Lot No.,Provenance Notes,Extra 1,Improvements,Expenses,Shows,Extra 1,Disposition Date,Buyer,Sale Amount,Realized Gain / (Loss),Provenance Notes,Extra 1,Estimated Valuation,image URL
1,"Adams, Ansel",1902-1984,American,"The Black Sun, Tungsten Hills, Owens Valley, California",1939,27,110,1970,Photograph,Gelatin Silver Print,Black & White,,13.675,18.375,,24.5,28.75,,"Signed and numbered ""V-7-27/110"" in pencil on the mount; titled, dated and numbered 7 in ink and portfolio credit reproduction limitation stamp on the reverse of the mount.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,9-Apr-11,Phillips de Pury & Company,106,,,,,,,,,,,,,,https://d7hftxdivxxvm.cloudfront.net/?resize_to=fit&width=800&height=595&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fs2yTBHXdjo4u5rN6sMXhYQ%2Fnormalized.jpg
2,"Adams, Ansel",1902-1984,American,"Frozen Lake and Cliffs, Sierra Nevada, California",1932,,,1973-1977,Photograph,Gelatin Silver Print,Black & White,,13,17,,24.5,28.5,,"Signed in pencil on the mount, a Carmel studio stamp (BMFA 11), with title and date in ink on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,3-Oct-12,"Sotheby's, New York",27,,,,,,,,,,,,,,https://collectionapi.metmuseum.org/api/collection/v1/iiif/262586/594791/restricted
3,"Ahn, Chul-Hyun",b. 1971,Korean,Forked #12,2008,1,3,,Lightbox,"Plywood, lights, mirror",,,21,21,4,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,9-Dec-09,"C. Grimaldis Gallery, Baltimore MD (at Art Basel)",,,,,,,,,,,,,,,https://d7hftxdivxxvm.cloudfront.net/?resize_to=fit&width=800&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FcchF72tvFpd53MfXgLPyRA%2Fnormalized.jpg
4,"Andriacci, Fernando",b. 1972,Mexican,"Tres Amigos (Bird, Crab in Orange)",,,,,"Gouache, Oil and Pastel",on Handmade Paper,Color,,15,20.5,,20.5,26.5,,Signed on image,Framed,,Excellent,"Bob & Sue Nelson Residence, Richomnd VA",Spare Room,,,,,,,,,,,,,,,,,
5,"Andriacci, Fernando",b. 1972,Mexican,"Los Topiles (Llamas and Scorpions in Blue , Green)",,,,,"Gouache, Oil and Pastel",on Handmade Paper,Color,,15,22.5,,22,29.5,,Signed on image,Framed,,Excellent,"Bob & Sue Nelson Residence, Richomnd VA",Spare Room,,,,,,,,,,,,,,,,,
6,"Armstrong, Bill",b. 1952,American,Untitled (Renaissance #1001),2006,3,10,2008,Photograph,Type-C Print,Color,,24,20,,,,,Signed in ink on Clampart Gallery Label in file.,Framed,,Excellent,The Colosseum at Caesars Palace,Green Room,16-Jan-08,Clampart,,,,,,,,,,,,,,,
7,"Armstrong, Bill",b. 1952,American,Untitled (Renaissance #1005),2006,3,10,2008,Photograph,Type-C Print,Color,,24,20,,,,,Signed in ink on Clampart Gallery Label in file.,Framed,,Excellent,The Colosseum at Caesars Palace,Green Room,16-Jan-08,Clampart,,,,,,,,,,,,,,,https://k6r7m2d4.stackpathcdn.com/wp-content/uploads/2012/01/Renaissance1005-980-640x480.jpg
8,"Armstrong, Bill",b. 1952,American,"The Apparition Portfolio, 2003",2003,9,10,2005,Photograph,Chromogenic Print,Color,16,13.5,10.5,,15,12,,"Sixteen chromogenic prints flush-mounted on board, printed 2005; each numbered '901-918' and '9/10' in ink and stamped with exhibition information (frame backing board)",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,14-Oct-20,"Christie's, New York",67,"Acquired from Christie's The Unseen Eye: Photographs from the W.M. Hunt Collection; acquired by W.M. Hunt directly from the artist, 2005.",,,,,,,,,,,,,https://www.christies.com/img/LotImages/2020/NYR/2020_NYR_19790_0067_000(bill_armstrong_the_apparition_portfolio_2003013042).jpg?mode=max&width=600
9,Baerwald,,American,Baby Chimpanzee,,,,,Photograph,Silver Print,Black & White,,12,10,,22,18,,Signed and stamped by the Artist on reverse,Framed,,Good,"Jeff & Taryn Nelson Residence, Richmond VA",Tate's Room,2007?,Gift of Karla Leopold,,,,,,,,,,,,,,,
10,Baerwald,,American,Thanksgiving Chimpanzees: Pilgrim and Indian,,,,,Photograph,Silver Print,Black & White,,10,10,,22,18,,Signed and stamped by the Artist on reverse,Framed,,Good,"Jeff & Taryn Nelson Residence, Richmond VA",Tate's Room,2007?,Gift of Karla Leopold,,,,,,,,,,,,,,,
11,"Barbieri, Olivo",b. 1954,Italian,"Caesars Coliseum, Site Specific_Las Vegas '05",2005,1,6,2006,Photograph,Chromogenic Print,Color,,50,68,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Guest Room 2,3-Oct-06,G-C Arts,,,,,,,,,,,,,,,https://www.moma.org/media/W1siZiIsIjM5ODg2MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=0d6b714c6203655a
12,"Bark, Jeff",b. 1963,,Untitled (Fawn),2006,7,8,,Photograph,"Chromogenic Print, Flush Mounted",Color,,46.825,62.75,,51.125,67.625,,"Signed, titled and numbered 7/8 in ink on an artist label affixed to the reverese of the frame",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,18-May-18,"Phillips, London",43,,,,,,,,,,,,,,
13,"Bavington, Tim",b. 1966,British,The Best of Me (Solo 1) Blue,2005,,,,Print,Digital Mono Print,Color,,14.5,26.5,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bavington Bedroom,,,,,,,,,,,,,,,,,https://pccdn.perfectchannel.com/christies/live/images/item/PWCOnline11298/5948434/original/NYR_11298_0054.jpg
14,"Bavington, Tim",b. 1966,British,It's All Over Now (Blue),2005,,,,Print,Digital Mono Print,Color,,13.5,25,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bavington Bedroom,,,,,,,,,,,,,,,,,https://www.timbavington.com/custom/media/cache/resolve/785x589_fit/5e307457a5aa2cb32a8b4567/f52ddc749409cca81b65ce3cdc9b9e92.png
15,"Bavington, Tim",b. 1966,British,,,,,,Print,Digital Mono Print,Color,,,,,,,,,Framed,,Excellent,,Green Room,,,,,,,,,,,,,,,,,
